brottskod;benamning;upphord;kodgrupp
0626;Fullbordad våldtäkt, utomhus mot person 15 år el äldre (upphörde år 2007);2007;05 - 07
0627;Fullbordad våldtäkt, inomhus mot barn under 15 år (upphörde år 2007);2007;05 - 07
0628;Fullbordad våldtäkt, inomhus mot person 15 år el äldre (upphörde år 2007);2007;05 - 07
0631;Sex tvång mot barn av annat kön, under 15 år, nära relation(upphörde år 2009);2009;05 - 07
0632;Sex tvång, mot barn av annat kön, under 15 år, övriga fall (upphörde år 2009);2009;05 - 07
0633;Sexuellt tvång, mot person av annat kön, 18 år eller äldre (upphörde år 2013);2013;05 - 07
0634;Sex tvång, mot barn av samma kön, under 15 år, nära relation (upphörde år 2009);2009;05 - 07
0635;Sex tvång, mot barn av samma kön, under 15 år, övriga fall (upphörde år 2009);2009;05 - 07
0636;Sexuellt tvång, mot person av samma kön, 18 år eller äldre (upphörde år 2013);2013;05 - 07
0637;Sexuellt ofredande, mot barn under 15 år (upphörde år 2014);2014;05 - 07
0638;Annat sexuellt ofredande (upphörde år 2014);2014;05 - 07
0640;Försök till våldtäkt inkl. grov, utomhus mot flicka under 15 år (upphörde år 2024);2024;05 - 07
0641;Försök till våldtäkt inkl. grov, inomhus mot flicka under 15 (upphörde år 2024) år;2024;05 - 07
0642;Försök till våldtäkt inkl. grov, utomhus mot pojke under 15 (upphörde år 2024);2024;05 - 07
0643;Försök till våldtäkt inkl. grov, inomhus mot pojke under 15 år (upphörde år 2024);2024;05 - 07
0644;Försök till våldtäkt inkl. grov, utomhus mot flicka 15-17 år (upphörde år 2013);2013;05 - 07
0645;Försök till våldtäkt inkl. grov, inomhus mot flicka 15-17 år (upphörde år 2013);2013;05 - 07
0646;Försök till våldtäkt inkl. grov, utomhus mot pojke 15-17 år (upphörde år 2013);2013;05 - 07
0647;Försök till våldtäkt inkl. grov, inomhus mot pojke 15-17 år (upphörde år 2013);2013;05 - 07
0648;Försök till våldtäkt, inkl. grov, utomhus mot kvinna 18 år eller äldre;;05 - 07
0649;Försök till våldtäkt, inkl. grov, inomhus mot kvinna 18 år eller äldre;;05 - 07
0650;Försök till våldtäkt inkl. grov, utomhus mot man 18 år eller äldre;;05 - 07
0651;Försök till våldtäkt inkl. grov, inomhus mot man 18 år eller äldre;;05 - 07
0652;Fullbordad våldtäkt inkl. grov, utomhus mot flicka under 15 år (upphörde år 2024);2024;05 - 07
0653;Fullbordad våldtäkt inkl. grov, inomhus mot flicka under 15 år (upphörde år 2024);2024;05 - 07
0654;Fullbordad våldtäkt inkl. grov, utomhus mot pojke under 15 år (upphörde år 2024);2024;05 - 07
0655;Fullbordad våldtäkt inkl. grov, inomhus mot pojke under 15 år (upphörde år 2024);2024;05 - 07
0656;Fullbordad våldtäkt inkl. grov, utomhus mot flicka 15-17 år (upphörde år 2013);2013;05 - 07
0657;Fullbordad våldtäkt inkl. grov, inomhus mot flicka 15-17 år (upphörde år 2013);2013;05 - 07
